,FILENAME,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
0,936.txt,281,15,36,27,16,11,9,4,49,18.7333,17.5625,10.4074,1.8,2.25,1.6875,0.4074,0.6875,1.0667,0.5625,0.25,0.1481,3.0625,1.8148
1,937.txt,345,17,48,37,19,17,14,5,62,20.2941,18.1579,9.3243,2.1765,2.5263,1.9474,0.4595,0.8947,1.1176,0.7368,0.2632,0.1351,3.2632,1.6757
2,942.txt,264,12,35,27,16,10,6,4,43,22.0,16.5,9.7778,2.25,2.1875,1.6875,0.3704,0.625,1.3333,0.375,0.25,0.1481,2.6875,1.5926
3,943.txt,264,13,40,26,17,6,6,7,30,20.3077,15.5294,10.1538,2.0,2.3529,1.5294,0.2308,0.3529,1.3077,0.3529,0.4118,0.2692,1.7647,1.1538
4,941.txt,253,16,35,24,16,8,8,4,34,15.8125,15.8125,10.5417,1.5,2.1875,1.5,0.3333,0.5,1.0,0.5,0.25,0.1667,2.125,1.4167
5,940.txt,277,13,35,30,16,12,8,4,36,21.3077,17.3125,9.2333,2.3077,2.1875,1.875,0.4,0.75,1.2308,0.5,0.25,0.1333,2.25,1.2
6,939.txt,259,16,41,32,16,16,13,6,37,16.1875,16.1875,8.0938,2.0,2.5625,2.0,0.5,1.0,1.0,0.8125,0.375,0.1875,2.3125,1.1562
7,938.txt,276,14,43,26,17,9,8,4,44,19.7143,16.2353,10.6154,1.8571,2.5294,1.5294,0.3462,0.5294,1.2143,0.4706,0.2353,0.1538,2.5882,1.6923
0,199.txt,223,14,35,31,18,13,8,6,25,15.9286,12.3889,7.1935,2.2143,1.9444,1.7222,0.4194,0.7222,1.2857,0.4444,0.3333,0.1935,1.3889,0.8065
1,198.txt,316,14,47,32,16,15,12,8,34,22.5714,19.75,9.875,2.2857,2.9375,2.0,0.4688,0.9375,1.1429,0.75,0.5,0.25,2.125,1.0625
2,195.txt,120,11,16,13,11,2,2,2,11,10.9091,10.9091,9.2308,1.1818,1.4545,1.1818,0.1538,0.1818,1.0,0.1818,0.1818,0.1538,1.0,0.8462
3,194.txt,281,21,50,38,21,15,10,8,41,13.381,13.381,7.3947,1.8095,2.381,1.8095,0.3947,0.7143,1.0,0.4762,0.381,0.2105,1.9524,1.0789
4,196.txt,246,15,41,30,17,12,11,8,25,16.4,14.4706,8.2,2.0,2.4118,1.7647,0.4,0.7059,1.1333,0.6471,0.4706,0.2667,1.4706,0.8333
5,197.txt,241,18,29,22,19,3,4,9,31,13.3889,12.6842,10.9545,1.2222,1.5263,1.1579,0.1364,0.1579,1.0556,0.2105,0.4737,0.4091,1.6316,1.4091
6,193.txt,291,26,41,37,28,9,9,5,46,11.1923,10.3929,7.8649,1.4231,1.4643,1.3214,0.2432,0.3214,1.0769,0.3214,0.1786,0.1351,1.6429,1.2432
7,192.txt,281,14,36,23,15,7,7,9,44,20.0714,18.7333,12.2174,1.6429,2.4,1.5333,0.3043,0.4667,1.0714,0.4667,0.6,0.3913,2.9333,1.913
0,969.txt,386,21,52,42,22,19,15,3,74,18.381,17.5455,9.1905,2.0,2.3636,1.9091,0.4524,0.8636,1.0476,0.6818,0.1364,0.0714,3.3636,1.7619
1,968.txt,270,14,44,32,19,11,9,1,37,19.2857,14.2105,8.4375,2.2857,2.3158,1.6842,0.3438,0.5789,1.3571,0.4737,0.0526,0.0312,1.9474,1.1562
2,974.txt,333,15,50,32,19,11,8,10,41,22.2,17.5263,10.4062,2.1333,2.6316,1.6842,0.3438,0.5789,1.2667,0.4211,0.5263,0.3125,2.1579,1.2812
3,975.txt,271,18,39,32,19,11,7,4,37,15.0556,14.2632,8.4688,1.7778,2.0526,1.6842,0.3438,0.5789,1.0556,0.3684,0.2105,0.125,1.9474,1.1562
4,971.txt,428,17,60,45,18,28,12,6,74,25.1765,23.7778,9.5111,2.6471,3.3333,2.5,0.6222,1.5556,1.0588,0.6667,0.3333,0.1333,4.1111,1.6444
5,970.txt,262,17,38,26,18,8,8,12,29,15.4118,14.5556,10.0769,1.5294,2.1111,1.4444,0.3077,0.4444,1.0588,0.4444,0.6667,0.4615,1.6111,1.1154
6,972.txt,248,14,30,23,14,9,8,9,42,17.7143,17.7143,10.7826,1.6429,2.1429,1.6429,0.3913,0.6429,1.0,0.5714,0.6429,0.3913,3.0,1.8261
7,973.txt,259,12,41,35,14,21,11,3,39,21.5833,18.5,7.4,2.9167,2.9286,2.5,0.6,1.5,1.1667,0.7857,0.2143,0.0857,2.7857,1.1143
0,316.txt,386,23,59,41,25,16,14,4,54,16.7826,15.44,9.4146,1.7826,2.36,1.64,0.3902,0.64,1.087,0.56,0.16,0.0976,2.16,1.3171
1,317.txt,291,14,46,37,16,21,12,7,36,20.7857,18.1875,7.8649,2.6429,2.875,2.3125,0.5676,1.3125,1.1429,0.75,0.4375,0.1892,2.25,0.973
2,315.txt,301,14,38,31,16,12,9,12,38,21.5,18.8125,9.7097,2.2143,2.375,1.9375,0.3871,0.75,1.1429,0.5625,0.75,0.3871,2.375,1.2258
3,314.txt,245,15,37,28,18,11,8,3,24,16.3333,13.6111,8.75,1.8667,2.0556,1.5556,0.3929,0.6111,1.2,0.4444,0.1667,0.1071,1.3333,0.8571
4,313.txt,280,17,42,30,17,13,9,10,40,16.4706,16.4706,9.3333,1.7647,2.4706,1.7647,0.4333,0.7647,1.0,0.5294,0.5882,0.3333,2.3529,1.3333
5,312.txt,280,12,43,26,14,15,10,15,30,23.3333,20.0,10.7692,2.1667,3.0714,1.8571,0.5769,1.0714,1.1667,0.7143,1.0714,0.5769,2.1429,1.1538
6,319.txt,275,18,40,28,19,9,7,8,37,15.2778,14.4737,9.8214,1.5556,2.1053,1.4737,0.3214,0.4737,1.0556,0.3684,0.4211,0.2857,1.9474,1.3214
7,318.txt,249,19,34,25,21,5,5,5,30,13.1053,11.8571,9.96,1.3158,1.619,1.1905,0.2,0.2381,1.1053,0.2381,0.2381,0.2,1.4286,1.2
0,987.txt,316,12,43,26,15,10,10,8,35,26.3333,21.0667,12.1538,2.1667,2.8667,1.7333,0.3846,0.6667,1.25,0.6667,0.5333,0.3077,2.3333,1.3462
1,986.txt,367,16,53,33,16,13,8,7,40,22.9375,22.9375,11.1212,2.0625,3.3125,2.0625,0.3939,0.8125,1.0,0.5,0.4375,0.2121,2.5,1.2121
2,984.txt,196,7,29,14,7,8,6,5,29,28.0,28.0,14.0,2.0,4.1429,2.0,0.5714,1.1429,1.0,0.8571,0.7143,0.3571,4.1429,2.0714
3,990.txt,372,19,54,34,21,13,8,7,44,19.5789,17.7143,10.9412,1.7895,2.5714,1.619,0.3824,0.619,1.1053,0.381,0.3333,0.2059,2.0952,1.2941
4,991.txt,85,6,14,11,6,5,4,4,13,14.1667,14.1667,7.7273,1.8333,2.3333,1.8333,0.4545,0.8333,1.0,0.6667,0.6667,0.3636,2.1667,1.1818
5,985.txt,238,13,37,25,14,13,9,3,33,18.3077,17.0,9.52,1.9231,2.6429,1.7857,0.52,0.9286,1.0769,0.6429,0.2143,0.12,2.3571,1.32
6,988.txt,293,18,40,28,19,8,9,6,39,16.2778,15.4211,10.4643,1.5556,2.1053,1.4737,0.2857,0.4211,1.0556,0.4737,0.3158,0.2143,2.0526,1.3929
7,989.txt,256,15,35,23,16,5,4,9,33,17.0667,16.0,11.1304,1.5333,2.1875,1.4375,0.2174,0.3125,1.0667,0.25,0.5625,0.3913,2.0625,1.4348
0,1047.txt,281,16,43,33,17,17,12,5,38,17.5625,16.5294,8.5152,2.0625,2.5294,1.9412,0.5152,1.0,1.0625,0.7059,0.2941,0.1515,2.2353,1.1515
1,1046.txt,269,13,40,34,20,11,8,6,30,20.6923,13.45,7.9118,2.6154,2.0,1.7,0.3235,0.55,1.5385,0.4,0.3,0.1765,1.5,0.8824
2,1044.txt,275,16,51,43,20,20,13,3,27,17.1875,13.75,6.3953,2.6875,2.55,2.15,0.4651,1.0,1.25,0.65,0.15,0.0698,1.35,0.6279
3,1045.txt,335,21,50,34,25,8,6,11,38,15.9524,13.4,9.8529,1.619,2.0,1.36,0.2353,0.32,1.1905,0.24,0.44,0.3235,1.52,1.1176
