filename,nwords,av_nominal_deps,av_nsubj_deps,av_nsubj_pass_deps,av_agents_deps,av_dobj_deps,av_pobj_deps,av_iobj_deps,av_ncomp_deps,av_nominal_deps_NN,av_nsubj_deps_NN,av_nsubj_pass_deps_NN,av_agents_deps_NN,av_dobj_deps_NN,av_pobj_deps_NN,av_iobj_deps_NN,av_ncomp_deps_NN,nominal_deps_stdev,nsubj_stdev,nsubj_pass_stdev,agents_stdev,dobj_stdev,pobj_stdev,iobj_stdev,ncomp_stdev,nominal_deps_NN_stdev,nsubj_NN_stdev,nsubj_pass_NN_stdev,agents_NN_stdev,dobj_NN_stdev,pobj_NN_stdev,iobj_NN_stdev,ncomp_NN_stdev,det_all_nominal_deps_struct,amod_all_nominal_deps_struct,prep_all_nominal_deps_struct,poss_all_nominal_deps_struct,vmod_all_nominal_deps_struct,nn_all_nominal_deps_struct,rcmod_all_nominal_deps_struct,advmod_all_nominal_deps_struct,conj_and_all_nominal_deps_struct,conj_or_all_nominal_deps_struct,det_all_nominal_deps_NN_struct,amod_all_nominal_deps_NN_struct,prep_all_nominal_deps_NN_struct,poss_all_nominal_deps_NN_struct,vmod_all_nominal_deps_NN_struct,nn_all_nominal_deps_NN_struct,rcmod_all_nominal_deps_NN_struct,advmod_all_nominal_deps_NN_struct,conj_and_all_nominal_deps_NN_struct,conj_or_all_nominal_deps_NN_struct,det_nsubj_deps_struct,amod_nsubj_deps_struct,prep_nsubj_deps_struct,poss_nsubj_deps_struct,vmod_nsubj_deps_struct,nn_nsubj_deps_struct,rcmod_nsubj_deps_struct,advmod_nsubj_deps_struct,conj_and_nsubj_deps_struct,conj_or_nsubj_deps_struct,det_nsubj_deps_NN_struct,amod_nsubj_deps_NN_struct,prep_nsubj_deps_NN_struct,poss_nsubj_deps_NN_struct,vmod_nsubj_deps_NN_struct,nn_nsubj_deps_NN_struct,rcmod_nsubj_deps_NN_struct,advmod_nsubj_deps_NN_struct,conj_and_nsubj_deps_NN_struct,conj_or_nsubj_deps_NN_struct,det_dobj_deps_struct,amod_dobj_deps_struct,prep_dobj_deps_struct,poss_dobj_deps_struct,vmod_dobj_deps_struct,nn_dobj_deps_struct,rcmod_dobj_deps_struct,advmod_dobj_deps_struct,conj_and_dobj_deps_struct,conj_or_dobj_deps_struct,det_dobj_deps_NN_struct,amod_dobj_deps_NN_struct,prep_dobj_deps_NN_struct,poss_dobj_deps_NN_struct,vmod_dobj_deps_NN_struct,nn_dobj_deps_NN_struct,rcmod_dobj_deps_NN_struct,advmod_dobj_deps_NN_struct,conj_and_dobj_deps_NN_struct,conj_or_dobj_deps_NN_struct,det_pobj_deps_struct,amod_pobj_deps_struct,prep_pobj_deps_struct,poss_pobj_deps_struct,vmod_pobj_deps_struct,nn_pobj_deps_struct,rcmod_pobj_deps_struct,advmod_pobj_deps_struct,conj_and_pobj_deps_struct,conj_or_pobj_deps_struct,det_pobj_deps_NN_struct,amod_pobj_deps_NN_struct,prep_pobj_deps_NN_struct,poss_pobj_deps_NN_struct,vmod_pobj_deps_NN_struct,nn_pobj_deps_NN_struct,rcmod_pobj_deps_NN_struct,advmod_pobj_deps_NN_struct,conj_and_pobj_deps_NN_struct,conj_or_pobj_deps_NN_struct,det_iobj_deps_struct,amod_iobj_deps_struct,prep_iobj_deps_struct,poss_iobj_deps_struct,vmod_iobj_deps_struct,nn_iobj_deps_struct,rcmod_iobj_deps_struct,advmod_iobj_deps_struct,conj_and_iobj_deps_struct,conj_or_iobj_deps_struct,det_iobj_deps_NN_struct,amod_iobj_deps_NN_struct,prep_iobj_deps_NN_struct,poss_iobj_deps_NN_struct,vmod_iobj_deps_NN_struct,nn_iobj_deps_NN_struct,rcmod_iobj_deps_NN_struct,advmod_iobj_deps_NN_struct,conj_and_iobj_deps_NN_struct,conj_or_iobj_deps_NN_struct,cl_av_deps,cl_ndeps_std_dev,acomp_per_cl,advcl_per_cl,agent_per_cl,cc_per_cl,ccomp_per_cl,conj_per_cl,csubj_per_cl,csubjpass_per_cl,dep_per_cl,discourse_per_cl,dobj_per_cl,expl_per_cl,iobj_per_cl,mark_per_cl,ncomp_per_cl,neg_per_cl,nsubj_per_cl,nsubjpass_per_cl,parataxis_per_cl,pcomp_per_cl,prep_per_cl,prepc_per_cl,prt_per_cl,tmod_per_cl,xcomp_per_cl,xsubj_per_cl,advmod_per_cl,aux_per_cl,auxpass_per_cl,modal_per_cl
1593.txt, 270, 0.837209302326,0.538461538462,0.666666666667,0,1.5,0.840909090909,0,1.33333333333,0.972602739726,0.777777777778,1.0,0,1.66666666667,0.878048780488,0,1.33333333333,0.915345537987,0.765513776594,0.942809041582,0.0,1.20415945788,0.796103631279,0.0,1.24721912892,0.91796136151,0.771722460186,1.0,0.0,1.15470053838,0.802287034312,0.0,1.24721912892,0.162790697674,0.186046511628,0.232558139535,0.046511627907,0.0,0.046511627907,0.0232558139535,0.0116279069767,0.0697674418605,0.0,0.191780821918,0.219178082192,0.27397260274,0.0547945205479,0.0,0.0547945205479,0.027397260274,0.013698630137,0.0821917808219,0.0,0.230769230769,0.192307692308,0.0769230769231,0.0,0.0,0.0,0.0384615384615,0.0,0.0,0.0,0.333333333333,0.277777777778,0.111111111111,0.0,0.0,0.0,0.0555555555556,0.0,0.0,0.0,0.2,0.4,0.6,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.222222222222,0.444444444444,0.666666666667,0.111111111111,0.0,0.0,0.0,0.0,0.111111111111,0.0,0.113636363636,0.136363636364,0.227272727273,0.0681818181818,0.0,0.0909090909091,0.0227272727273,0.0,0.113636363636,0.0,0.121951219512,0.146341463415,0.243902439024,0.0731707317073,0.0,0.0975609756098,0.0243902439024,0.0,0.121951219512,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77142857143,1.14855721384,0.2,0.0857142857143,0.0,0.0285714285714,0.171428571429,0.0285714285714,0.0,0.0,0.0285714285714,0.0,0.285714285714,0.0857142857143,0.0,0.2,0.0857142857143,0.0285714285714,0.657142857143,0.0857142857143,0.0571428571429,0.0,0.285714285714,0.0285714285714,0.0285714285714,0.0,0.0285714285714,0.0,0.342857142857,0.142857142857,0.0857142857143,0.171428571429
939.txt, 256, 0.7375,0.685714285714,0.5,0,0.941176470588,0.692307692308,0,0,0.783783783784,0.8,1.0,0,0.882352941176,0.692307692308,0,0,0.804146783398,0.901387818866,0.5,0.0,0.72522517682,0.721602424588,0.0,0.0,0.810318302177,0.916245694582,0.0,0.0,0.757888160396,0.721602424588,0.0,0.0,0.2,0.1875,0.1375,0.05,0.0125,0.025,0.0875,0.0125,0.0125,0.0,0.216216216216,0.202702702703,0.148648648649,0.0540540540541,0.0135135135135,0.027027027027,0.0945945945946,0.0135135135135,0.0,0.0,0.2,0.2,0.142857142857,0.0285714285714,0.0,0.0,0.114285714286,0.0,0.0,0.0,0.233333333333,0.233333333333,0.166666666667,0.0333333333333,0.0,0.0,0.133333333333,0.0,0.0,0.0,0.176470588235,0.294117647059,0.352941176471,0.0,0.0588235294118,0.0,0.0,0.0,0.0588235294118,0.0,0.176470588235,0.294117647059,0.352941176471,0.0,0.0588235294118,0.0,0.0,0.0,0.0588235294118,0.0,0.230769230769,0.115384615385,0.0,0.115384615385,0.0,0.0769230769231,0.115384615385,0.0,0.0,0.0,0.230769230769,0.115384615385,0.0,0.115384615385,0.0,0.0769230769231,0.115384615385,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63414634146,0.904085511846,0.170731707317,0.0,0.0,0.0,0.219512195122,0.0731707317073,0.0,0.0,0.0243902439024,0.0,0.390243902439,0.0975609756098,0.0,0.170731707317,0.0,0.0975609756098,0.780487804878,0.0487804878049,0.0,0.0,0.243902439024,0.0243902439024,0.0,0.0,0.121951219512,0.0,0.170731707317,0.146341463415,0.0487804878049,0.292682926829
1059.txt, 173, 0.931034482759,0.333333333333,0,0,1.35714285714,1.0,0,3.5,1.125,0.538461538462,0,0,1.35714285714,1.10526315789,0,3.5,1.03448202557,0.482376388943,0.0,0.0,0.894997434724,0.925820099773,0.0,1.5,1.02796438413,0.481045692921,0.0,0.0,0.894997434724,0.911605688194,0.0,1.5,0.224137931034,0.172413793103,0.120689655172,0.051724137931,0.0344827586207,0.120689655172,0.0344827586207,0.0344827586207,0.0689655172414,0.0172413793103,0.270833333333,0.208333333333,0.145833333333,0.0625,0.0416666666667,0.145833333333,0.0416666666667,0.0416666666667,0.0833333333333,0.0208333333333,0.047619047619,0.0,0.0,0.0,0.0,0.190476190476,0.0,0.0,0.0952380952381,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.307692307692,0.0,0.0,0.153846153846,0.0,0.142857142857,0.357142857143,0.142857142857,0.214285714286,0.0714285714286,0.0714285714286,0.142857142857,0.0714285714286,0.0714285714286,0.0714285714286,0.142857142857,0.357142857143,0.142857142857,0.214285714286,0.0714285714286,0.0714285714286,0.142857142857,0.0714285714286,0.0714285714286,0.0714285714286,0.380952380952,0.190476190476,0.142857142857,0.0,0.047619047619,0.0952380952381,0.0,0.0,0.047619047619,0.0,0.421052631579,0.210526315789,0.157894736842,0.0,0.0526315789474,0.105263157895,0.0,0.0,0.0526315789474,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,1.54712636847,0.08,0.12,0.0,0.0,0.16,0.04,0.0,0.0,0.12,0.0,0.56,0.0,0.0,0.2,0.08,0.08,0.84,0.0,0.0,0.0,0.4,0.04,0.0,0.04,0.04,0.0,0.12,0.0,0.0,0.24
1673.txt, 401, 0.889763779528,0.770833333333,0.5,0,1.21212121212,0.731707317073,0,1.66666666667,1.01834862385,1.08823529412,1.0,0,1.25,0.717948717949,0,1.66666666667,0.764586879627,0.741940245709,0.5,0.0,0.685679302969,0.765869193566,0.0,0.471404520791,0.741702125923,0.658324390753,0.0,0.0,0.661437827766,0.782786539614,0.0,0.471404520791,0.236220472441,0.212598425197,0.110236220472,0.0551181102362,0.0,0.102362204724,0.0,0.0157480314961,0.0787401574803,0.00787401574803,0.275229357798,0.247706422018,0.128440366972,0.0642201834862,0.0,0.119266055046,0.0,0.0183486238532,0.0917431192661,0.00917431192661,0.229166666667,0.229166666667,0.104166666667,0.0,0.0,0.125,0.0,0.0,0.0833333333333,0.0,0.323529411765,0.323529411765,0.147058823529,0.0,0.0,0.176470588235,0.0,0.0,0.117647058824,0.0,0.333333333333,0.333333333333,0.151515151515,0.121212121212,0.0,0.030303030303,0.0,0.0606060606061,0.0909090909091,0.030303030303,0.34375,0.34375,0.15625,0.125,0.0,0.03125,0.0,0.0625,0.09375,0.03125,0.19512195122,0.0975609756098,0.0487804878049,0.0487804878049,0.0,0.121951219512,0.0,0.0,0.0487804878049,0.0,0.205128205128,0.102564102564,0.0512820512821,0.0512820512821,0.0,0.128205128205,0.0,0.0,0.0512820512821,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83870967742,1.35829053364,0.112903225806,0.0483870967742,0.0,0.0483870967742,0.241935483871,0.0322580645161,0.0,0.0,0.0806451612903,0.0,0.532258064516,0.0,0.0,0.274193548387,0.0483870967742,0.0806451612903,0.741935483871,0.0322580645161,0.0,0.0,0.274193548387,0.0483870967742,0.0161290322581,0.0,0.0806451612903,0.0,0.0645161290323,0.177419354839,0.0322580645161,0.129032258065
762.txt, 260, 1.0,0.739130434783,0,0,0.928571428571,1.13888888889,0,4.0,0.963414634146,0.888888888889,0,0,0.928571428571,0.942857142857,0,4.0,0.952069278626,0.85183542,0.0,0.0,0.752546696632,1.00423486014,0.0,0.0,0.91506488841,0.866025403784,0.0,0.0,0.752546696632,0.924054950217,0.0,0.0,0.193181818182,0.329545454545,0.125,0.0568181818182,0.0340909090909,0.0227272727273,0.0340909090909,0.0454545454545,0.0227272727273,0.0113636363636,0.207317073171,0.353658536585,0.121951219512,0.0609756097561,0.0365853658537,0.0243902439024,0.0365853658537,0.0365853658537,0.0,0.0121951219512,0.217391304348,0.173913043478,0.130434782609,0.0,0.0434782608696,0.0434782608696,0.0434782608696,0.0434782608696,0.0,0.0,0.277777777778,0.222222222222,0.166666666667,0.0,0.0555555555556,0.0555555555556,0.0555555555556,0.0555555555556,0.0,0.0,0.178571428571,0.428571428571,0.107142857143,0.142857142857,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.178571428571,0.428571428571,0.107142857143,0.142857142857,0.0357142857143,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.333333333333,0.138888888889,0.0277777777778,0.0277777777778,0.0277777777778,0.0555555555556,0.0555555555556,0.0555555555556,0.0277777777778,0.171428571429,0.342857142857,0.142857142857,0.0285714285714,0.0285714285714,0.0285714285714,0.0571428571429,0.0571428571429,0.0571428571429,0.0285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55319148936,1.19944154804,0.0851063829787,0.0425531914894,0.0,0.0,0.0425531914894,0.127659574468,0.0212765957447,0.0,0.106382978723,0.0,0.595744680851,0.0425531914894,0.0,0.106382978723,0.0212765957447,0.0212765957447,0.489361702128,0.0,0.0212765957447,0.0,0.340425531915,0.148936170213,0.0212765957447,0.0,0.0425531914894,0.0,0.191489361702,0.148936170213,0.0,0.063829787234
1089.txt, 269, 1.13253012048,0.8,0.0,0,1.25,1.35714285714,0,2.0,1.21739130435,1.25,0,0,1.36363636364,1.14634146341,0,2.0,1.07289816197,0.979795897113,0.0,0.0,1.16368667031,1.04246567995,0.0,0.0,1.06143961876,0.968245836552,0.0,0.0,1.14991914915,1.07206151102,0.0,0.0,0.156626506024,0.277108433735,0.240963855422,0.156626506024,0.0,0.0722891566265,0.0240963855422,0.0120481927711,0.0722891566265,0.0,0.188405797101,0.333333333333,0.246376811594,0.188405797101,0.0,0.0869565217391,0.0289855072464,0.0144927536232,0.0724637681159,0.0,0.24,0.04,0.36,0.08,0.0,0.0,0.04,0.0,0.04,0.0,0.375,0.0625,0.5625,0.125,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0833333333333,0.583333333333,0.25,0.0833333333333,0.0,0.0833333333333,0.0833333333333,0.0,0.0,0.0,0.0909090909091,0.636363636364,0.272727272727,0.0909090909091,0.0,0.0909090909091,0.0909090909091,0.0,0.0,0.0,0.142857142857,0.333333333333,0.166666666667,0.238095238095,0.0,0.119047619048,0.0,0.0238095238095,0.119047619048,0.0,0.146341463415,0.341463414634,0.170731707317,0.243902439024,0.0,0.121951219512,0.0,0.0243902439024,0.121951219512,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61111111111,0.979732893808,0.0833333333333,0.0555555555556,0.0,0.0277777777778,0.166666666667,0.0,0.0,0.0,0.0277777777778,0.0,0.333333333333,0.0,0.0,0.194444444444,0.0277777777778,0.0555555555556,0.638888888889,0.0833333333333,0.0,0.0,0.472222222222,0.0555555555556,0.0277777777778,0.0,0.138888888889,0.0,0.222222222222,0.222222222222,0.0833333333333,0.277777777778
1571.txt, 287, 0.933333333333,0.65625,0.0,0,1.09090909091,0.884615384615,0.0,2.66666666667,0.963855421687,0.807692307692,0.0,0,1.09090909091,0.730769230769,0.0,2.66666666667,1.14518582528,0.955555303214,0.0,0.0,0.949118773537,0.891279248174,0.0,0.942809041582,1.14737887672,1.00073937164,0.0,0.0,0.949118773537,0.811347042682,0.0,0.942809041582,0.322222222222,0.177777777778,0.122222222222,0.0777777777778,0.0111111111111,0.0111111111111,0.0777777777778,0.0555555555556,0.0222222222222,0.0,0.349397590361,0.192771084337,0.132530120482,0.0843373493976,0.0120481927711,0.0120481927711,0.0843373493976,0.0361445783133,0.0240963855422,0.0,0.3125,0.0625,0.15625,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.384615384615,0.0769230769231,0.192307692308,0.0,0.0,0.0,0.0769230769231,0.0769230769231,0.0,0.0,0.272727272727,0.272727272727,0.0454545454545,0.227272727273,0.0454545454545,0.0,0.0909090909091,0.0,0.0454545454545,0.0,0.272727272727,0.272727272727,0.0454545454545,0.227272727273,0.0454545454545,0.0,0.0909090909091,0.0,0.0454545454545,0.0,0.307692307692,0.115384615385,0.0769230769231,0.0769230769231,0.0,0.0384615384615,0.0384615384615,0.0769230769231,0.0384615384615,0.0,0.307692307692,0.115384615385,0.0769230769231,0.0769230769231,0.0,0.0384615384615,0.0384615384615,0.0769230769231,0.0384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43396226415,1.12450297553,0.0754716981132,0.0,0.0,0.0,0.150943396226,0.0943396226415,0.0,0.0,0.0754716981132,0.0,0.415094339623,0.0754716981132,0.0377358490566,0.0943396226415,0.11320754717,0.0188679245283,0.584905660377,0.0377358490566,0.0,0.0,0.207547169811,0.0188679245283,0.0188679245283,0.0,0.11320754717,0.0,0.283018867925,0.188679245283,0.0377358490566,0.0943396226415
1304.txt, 92, 1.46666666667,0.75,1.0,0.0,1.66666666667,2.0,0,2.0,1.34615384615,0.75,1.0,0.0,1.66666666667,1.4,0,2.0,1.07063273767,0.829156197589,0.0,0.0,1.15470053838,0.774596669241,0.0,0.0,1.1313708499,0.829156197589,0.0,0.0,1.15470053838,1.11355287257,0.0,0.0,0.333333333333,0.2,0.233333333333,0.1,0.0333333333333,0.2,0.0666666666667,0.0333333333333,0.0333333333333,0.0,0.384615384615,0.230769230769,0.153846153846,0.115384615385,0.0384615384615,0.192307692308,0.0769230769231,0.0,0.0384615384615,0.0,0.25,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.333333333333,0.555555555556,0.222222222222,0.222222222222,0.111111111111,0.0,0.111111111111,0.0,0.111111111111,0.0,0.333333333333,0.555555555556,0.222222222222,0.222222222222,0.111111111111,0.0,0.111111111111,0.0,0.111111111111,0.0,0.4,0.0,0.3,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.4,0.0,0.3,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54545454545,1.23315090602,0.0909090909091,0.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818181818182,0.0,0.0,0.0,0.0909090909091,0.0,0.727272727273,0.0909090909091,0.0,0.0,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.272727272727,0.0909090909091,0.181818181818,0.454545454545
552.txt, 262, 1.11842105263,0.916666666667,0.0,0,1.45,1.09677419355,0,0,1.22058823529,1.16666666667,0,0,1.52631578947,1.06451612903,0,0,1.02415276638,0.999054373311,0.0,0.0,1.11691539518,0.928225456125,0.0,0.0,1.0234497157,1.00172860976,0.0,0.0,1.09392682583,0.948189577852,0.0,0.0,0.302631578947,0.368421052632,0.157894736842,0.0789473684211,0.0131578947368,0.0131578947368,0.0394736842105,0.0131578947368,0.0526315789474,0.0,0.338235294118,0.411764705882,0.176470588235,0.0882352941176,0.0147058823529,0.0147058823529,0.0441176470588,0.0147058823529,0.0588235294118,0.0,0.208333333333,0.291666666667,0.166666666667,0.0416666666667,0.0,0.0416666666667,0.0,0.0,0.0,0.0,0.277777777778,0.388888888889,0.222222222222,0.0555555555556,0.0,0.0555555555556,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.1,0.05,0.0,0.05,0.05,0.2,0.0,0.421052631579,0.315789473684,0.315789473684,0.105263157895,0.0526315789474,0.0,0.0526315789474,0.0526315789474,0.210526315789,0.0,0.322580645161,0.483870967742,0.0645161290323,0.0967741935484,0.0,0.0,0.0645161290323,0.0,0.0,0.0,0.322580645161,0.483870967742,0.0645161290323,0.0967741935484,0.0,0.0,0.0645161290323,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67647058824,1.38735016648,0.0588235294118,0.0882352941176,0.0,0.0,0.0882352941176,0.0294117647059,0.0,0.0,0.0,0.0,0.588235294118,0.0882352941176,0.0,0.117647058824,0.0,0.0,0.647058823529,0.0294117647059,0.0588235294118,0.0,0.411764705882,0.0,0.0,0.0,0.235294117647,0.0,0.235294117647,0.294117647059,0.0294117647059,0.352941176471
596.txt, 237, 1.22891566265,0.95,1.0,0.0,1.6875,1.13953488372,0,3.0,1.24675324675,1.06666666667,1.0,0.0,1.73333333333,1.09302325581,0,3.0,1.17355403835,0.970236066476,0.0,0.0,1.44562918828,1.06926176117,0.0,0.0,1.18508739465,0.832993127835,0.0,0.0,1.48174071806,1.09574130134,0.0,0.0,0.240963855422,0.265060240964,0.33734939759,0.0120481927711,0.0361445783133,0.156626506024,0.0481927710843,0.0120481927711,0.0481927710843,0.0361445783133,0.246753246753,0.272727272727,0.363636363636,0.012987012987,0.038961038961,0.168831168831,0.0519480519481,0.0,0.038961038961,0.038961038961,0.35,0.05,0.2,0.0,0.1,0.05,0.05,0.05,0.05,0.0,0.466666666667,0.0666666666667,0.266666666667,0.0,0.133333333333,0.0666666666667,0.0666666666667,0.0666666666667,0.0666666666667,0.0,0.375,0.5625,0.5625,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.4,0.6,0.6,0.0,0.0,0.0666666666667,0.0666666666667,0.0,0.0666666666667,0.0,0.116279069767,0.209302325581,0.348837209302,0.0232558139535,0.0,0.255813953488,0.046511627907,0.0,0.0232558139535,0.0697674418605,0.116279069767,0.209302325581,0.348837209302,0.0232558139535,0.0,0.255813953488,0.046511627907,0.0,0.0232558139535,0.0697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,1.0925200227,0.04,0.12,0.04,0.0,0.04,0.08,0.0,0.0,0.04,0.0,0.64,0.04,0.0,0.16,0.08,0.0,0.8,0.04,0.0,0.0,0.56,0.04,0.0,0.0,0.04,0.0,0.16,0.08,0.04,0.16
